Timing criticalities have been normalized to be non-negative by relaxing the required times to the maximum arrival time.

Largest timing criticality in design: 2
Smallest timing criticality in design: 1.21321
Total timing criticality in design: 1307.65

Range		1.2e+000 to 1.4e+000	1.4e+000 to 1.5e+000	1.5e+000 to 1.7e+000	1.7e+000 to 1.8e+000	1.8e+000 to 2.0e+000	
Timing criticalities in range		11			44			126			290			266			



Net #	Driver_tnode	 to_node	Timing criticality

    0	   24		    0		1.952717
    1	  331		    3		1.779114
    2	  336		    4		1.773743
			 2789		1.761205
			 4231		1.885958
			 4954		1.733500
			 9571		1.637594
    3	  333		    5		1.542792
			  666		1.536421
			 1039		1.545119
			 1703		1.645956
			 2080		1.573643
			 3183		1.443300
			 3509		1.714582
			 4217		1.641036
			 5737		1.908364
			 6059		1.798623
			 6479		1.790843
			 7203		1.766056
			 7581		1.849768
			 9234		1.739902
			 9562		1.790628
    4	  334		    6		1.832767
    5	 5369		    7		1.813351
    6	 1041		    8		1.773743
			 2088		1.421681
			 2794		1.867716
			 3527		1.575146
			 3878		1.867782
			 4959		1.756639
			 5352		1.767264
			 5733		1.899102
			 6845		1.699635
			 7934		1.585392
			 8262		1.575439
			 8600		1.695964
			 9245		1.676577
    7	 4985		    9		1.760517
			 2817		1.909995
    8	  338		   10		1.957533
    9	 6854		   11		1.673105
   10	 2422		   12		1.638273
			  325		1.972676
			 1034		1.678965
			 1395		1.816596
			 1710		1.980751
			 2455		1.855924
			 2814		1.881660
			 3171		1.914587
			 3882		1.890608
			 4246		1.774530
			 5731		1.510687
			 6462		1.678882
			 6829		1.687475
			 7206		1.710741
			 7576		1.714474
			 8593		1.777004
			 8911		1.663404
			 9237		1.673954
			 9559		1.775530
			 9924		1.282203
   11	 1043		   13		1.903880
   12	 1047		   14		1.976718
			 2449		1.746578
			 3167		1.786245
			 5738		1.701229
			 6061		1.798903
			 6468		1.790540
			 6824		1.715328
			 7210		1.593755
			 7579		1.812638
			 9551		1.824253
			 9932		1.677364
   13	 8919		   15		1.603488
   14	  339		   16		1.779114
   15	 2419		   17		1.841226
			  326		1.968011
			 1024		1.678965
